AREA,PERIMETER,GLG,TYPE,PATH,SOURCE
6.347,141.608,H2O,water,,bangla/images/refer.tif
0.367,5.418,U,U,,bangla/images/refer.tif
0.045,2.132,csd,sed,bangla/images/coastal.tif,bangla/images/refer.tif
0.007,0.802,ava,sed,bangla/images/alluv2.tif,bangla/images/refer.tif
0.036,1.288,QTdd,sed,bangla/images/dih_dupi.tif,bangla/images/refer.tif
0.003,0.293,ppc,sed,bangla/images/palud.tif,bangla/images/refer.tif
0.003,0.490,QTdt,bed,,bangla/images/refer.tif
0.001,0.258,csd,sed,bangla/images/coastal.tif,bangla/images/refer.tif
0.002,0.510,QTg,bed,bangla/images/tipam.tif,bangla/images/refer.tif
0.003,0.381,Tt,bed,bangla/images/tipam.tif,bangla/images/refer.tif
0.001,0.161,QTdt,bed,,bangla/images/refer.tif
0.009,0.693,QTg,bed,bangla/images/tipam.tif,bangla/images/refer.tif
0.000,0.104,Tbb,bed,bangla/images/surma.tif,bangla/images/refer.tif
0.001,0.170,csd,sed,bangla/images/coastal.tif,bangla/images/refer.tif
0.002,0.306,csd,sed,bangla/images/coastal.tif,bangla/images/refer.tif
0.000,0.085,csd,sed,bangla/images/coastal.tif,bangla/images/refer.tif
0.005,0.318,ava,sed,bangla/images/alluv2.tif,bangla/images/refer.tif
0.003,1.084,csd,sed,bangla/images/coastal.tif,bangla/images/refer.tif
0.007,0.890,Tt,bed,bangla/images/tipam.tif,bangla/images/refer.tif
0.004,0.710,Tbb,bed,bangla/images/surma.tif,bangla/images/refer.tif
0.015,1.301,Tt,bed,bangla/images/tipam.tif,bangla/images/refer.tif
0.004,0.993,QTg,bed,bangla/images/tipam.tif,bangla/images/refer.tif
0.007,0.534,Tbb,bed,bangla/images/surma.tif,bangla/images/refer.tif
0.004,0.273,QTdi,bed,bangla/images/dih_dupi.tif,bangla/images/refer.tif
0.012,0.649,QTdt,bed,,bangla/images/refer.tif
0.002,0.223,Tb,bed,bangla/images/surma.tif,bangla/images/refer.tif
0.000,0.066,U,U,,bangla/images/refer.tif
0.008,0.660,Tbb,bed,bangla/images/surma.tif,bangla/images/refer.tif
0.000,0.024,U,U,,bangla/images/refer.tif
0.002,0.260,U,U,,bangla/images/refer.tif
0.000,0.072,U,U,,bangla/images/refer.tif
0.001,0.177,Tb,bed,bangla/images/surma.tif,bangla/images/refer.tif
0.000,0.034,U,U,,bangla/images/refer.tif
0.001,0.125,U,U,,bangla/images/refer.tif
0.000,0.061,U,U,,bangla/images/refer.tif
0.002,0.299,U,U,,bangla/images/refer.tif
0.005,0.394,csd,sed,bangla/images/coastal.tif,bangla/images/refer.tif
0.001,0.115,Tbb,bed,bangla/images/surma.tif,bangla/images/refer.tif
0.000,0.102,Qsm,bed,bangla/images/bedr.tif,bangla/images/refer.tif
